binance_symbol,base_asset,coingecko_id,coingecko_symbol,coingecko_name,match_status
1000000MOGUSDT,1000000MOG,mog-coin,,,auto_matched
1000BONKUSDT,1000BONK,bonk,,,auto_matched
1000CATUSDT,1000CAT,catwifhat,,,auto_matched
1000CHEEMSUSDT,1000CHEEMS,cheems,,,auto_matched
1000FLOKIUSDT,1000FLOKI,floki,,,auto_matched
1000LUNCUSDT,1000LUNC,terra-luna,,,auto_matched
1000PEPEUSDT,1000PEPE,pepe,,,auto_matched
1000SATSUSDT,1000SATS,sats-ordinals,,,auto_matched
1000SHIBUSDT,1000SHIB,shiba-inu,,,auto_matched
1000WHYUSDT,1000WHY,why,,,auto_matched
1000XECUSDT,1000XEC,ecomi,,,auto_matched
1INCHUSDT,1INCH,1inch,,,auto_matched
4USDT,4,4,,,auto_matched
AAVEUSDT,AAVE,aave,,,auto_matched
ACHUSDT,ACH,alchemy-pay,,,auto_matched
ACTUSDT,ACT,achain,,,auto_matched
ACXUSDT,ACX,across-protocol,,,auto_matched
ADAUSDT,ADA,cardano,,,auto_matched
AERGOUSDT,AERGO,aergo,,,auto_matched
AEROUSDT,AERO,aerodrome-finance,,,auto_matched
AGLDUSDT,AGLD,adventure-gold,,,auto_matched
AIUSDT,AI,sleepless-ai,,,auto_matched
AIXBTUSDT,AIXBT,aixbt,,,auto_matched
AKTUSDT,AKT,akash-network,,,auto_matched
ALGOUSDT,ALGO,algorand,,,auto_matched
ALICEUSDT,ALICE,my-neighbor-alice,,,auto_matched
ALLOUSDT,ALLO,allo,,,auto_matched
ALTUSDT,ALT,altlayer,,,auto_matched
AMPLUSDT,AMPL,ampleforth-governance-token,,,auto_matched
ANKRUSDT,ANKR,ankr,,,auto_matched
APEUSDT,APE,apecoin,,,auto_matched
API3USDT,API3,api3,,,auto_matched
APTUSDT,APT,aptos,,,auto_matched
ARBUSDT,ARB,arbitrum,,,auto_matched
ARCUSDT,ARC,arc,,,auto_matched
ARIAUSDT,ARIA,aria,,,auto_matched
ARKMUSDT,ARKM,arkham,,,auto_matched
ARKUSDT,ARK,ark,,,auto_matched
ARPAUSDT,ARPA,arpa,,,auto_matched
ARUSDT,AR,arweave,,,auto_matched
ASTRUSDT,ASTR,astar,,,auto_matched
ATAUSDT,ATA,automata,,,auto_matched
ATOMUSDT,ATOM,cosmos,,,auto_matched
AUCTIONUSDT,AUCTION,auction,,,auto_matched
AVAAIUSDT,AVAAI,ava-ai,,,auto_matched
AVAUSDT,AVA,convex-finance,,,auto_matched
AVAXUSDT,AVAX,avalanche-2,,,auto_matched
AVTUSDT,AVT,aventus,,,auto_matched
AXLUSDT,AXL,axelar,,,auto_matched
AXSUSDT,AXS,axie-infinity,,,auto_matched
B3USDT,B3,b3,,,auto_matched
BABYUSDT,BABY,baby,,,auto_matched
BANANAUSDT,BANANA,banana,,,auto_matched
BANDUSDT,BAND,band-protocol,,,auto_matched
BANUSDT,BAN,banano,,,auto_matched
BASUSDT,BAS,bas,,,auto_matched
BATUSDT,BAT,basic-attention-token,,,auto_matched
BCHUSDT,BCH,bitcoin-cash,,,auto_matched
BEAMXUSDT,BEAMX,beam-2,,,auto_matched
BELUSDT,BEL,bella-protocol,,,auto_matched
BICOUSDT,BICO,biconomy,,,auto_matched
BIGTIMEUSDT,BIGTIME,big-time,,,auto_matched
BIOUSDT,BIO,biopassport,,,auto_matched
BLURUSDT,BLUR,blur,,,auto_matched
BNBUSDT,BNB,binancecoin,,,auto_matched
BNTUSDT,BNT,bancor,,,auto_matched
BOBUSDT,BOB,bob,,,auto_matched
BOMEUSDT,BOME,book-of-meme,,,auto_matched
BRETTUSDT,BRETT,brett,,,auto_matched
BSVUSDT,BSV,bitcoin-cash-sv,,,auto_matched
BTCUSDT,BTC,bitcoin,,,auto_matched
C98USDT,C98,coin98,,,auto_matched
CAKEUSDT,CAKE,pancakeswap-token,,,auto_matched
CARVUSDT,CARV,carv,,,auto_matched
CELOUSDT,CELO,celo,,,auto_matched
CELRUSDT,CELR,celer-network,,,auto_matched
CETUSUSDT,CETUS,cetus-protocol,,,auto_matched
CFXUSDT,CFX,conflux-token,,,auto_matched
CHESSUSDT,CHESS,tranchess,,,auto_matched
CHRUSDT,CHR,chromaway,,,auto_matched
CHZUSDT,CHZ,chiliz,,,auto_matched
CKBUSDT,CKB,nervos-network,,,auto_matched
CLANKERUSDT,CLANKER,clanker,,,auto_matched
COMMONUSDT,COMMON,common,,,auto_matched
COMPUSDT,COMP,compound-governance-token,,,auto_matched
COOKIEUSDT,COOKIE,cookie,,,auto_matched
COSUSDT,COS,contentos,,,auto_matched
COTIUSDT,COTI,coti,,,auto_matched
COWUSDT,COW,cow-protocol,,,auto_matched
CRVUSDT,CRV,curve-dao-token,,,auto_matched
CTKUSDT,CTK,certik,,,auto_matched
CTSIUSDT,CTSI,cartesi,,,auto_matched
CUDISUSDT,CUDIS,cudis,,,auto_matched
CVCUSDT,CVC,civic,,,auto_matched
CYBERUSDT,CYBER,cyberconnect,,,auto_matched
DAMUSDT,DAM,dam,,,auto_matched
DASHUSDT,DASH,dash,,,auto_matched
DEEPUSDT,DEEP,deep,,,auto_matched
DEGENUSDT,DEGEN,degen-base,,,auto_matched
DEGOUSDT,DEGO,dego-finance,,,auto_matched
DENTUSDT,DENT,dent,,,auto_matched
DEXEUSDT,DEXE,dexe,,,auto_matched
DFUSDT,DF,dforce-token,,,auto_matched
DIAUSDT,DIA,dia-data,,,auto_matched
DODOXUSDT,DODOX,dodo,,,auto_matched
DOGEUSDT,DOGE,dogecoin,,,auto_matched
DOTUSDT,DOT,polkadot,,,auto_matched
DRIFTUSDT,DRIFT,drift-protocol,,,auto_matched
DYDXUSDT,DYDX,dydx-chain,,,auto_matched
DYMUSDT,DYM,dymension,,,auto_matched
EDENUSDT,EDEN,eden,,,auto_matched
EDUUSDT,EDU,edu-coin,,,auto_matched
EGLDUSDT,EGLD,elrond-erd-2,,,auto_matched
EIGENUSDT,EIGEN,eigenlayer,,,auto_matched
ENAUSDT,ENA,ethena,,,auto_matched
ENJUSDT,ENJ,enjincoin,,,auto_matched
ENSOUSDT,ENSO,enso,,,auto_matched
ENSUSDT,ENS,ethereum-name-service,,,auto_matched
ETCUSDT,ETC,ethereum-classic,,,auto_matched
ETHUSDT,ETH,ethereum,,,auto_matched
ETHWUSDT,ETHW,ethereum-pow-iou,,,auto_matched
FARTCOINUSDT,FARTCOIN,fartcoin,,,auto_matched
FETUSDT,FET,fetch-ai,,,auto_matched
FIDAUSDT,FIDA,bonfida,,,auto_matched
FILUSDT,FIL,filecoin,,,auto_matched
FIOUSDT,FIO,fio-protocol,,,auto_matched
FLOWUSDT,FLOW,flow,,,auto_matched
FLUXUSDT,FLUX,flux,,,auto_matched
FOLKSUSDT,FOLKS,folks,,,auto_matched
FUNUSDT,FUN,funfair,,,auto_matched
FUSDT,F,f,,,auto_matched
FXSUSDT,FXS,frax-share,,,auto_matched
GALAUSDT,GALA,gala,,,auto_matched
GASUSDT,GAS,gas,,,auto_matched
GHSTUSDT,GHST,aavegotchi,,,auto_matched
GLMUSDT,GLM,golem,,,auto_matched
GMTUSDT,GMT,stepn,,,auto_matched
GMXUSDT,GMX,gmx,,,auto_matched
GOATUSDT,GOAT,goatse,,,auto_matched
GRASSUSDT,GRASS,grass,,,auto_matched
GRIFFAINUSDT,GRIFFAIN,griffain,,,auto_matched
GRTUSDT,GRT,the-graph,,,auto_matched
GSTARUSDT,GSTAR,gunstar-metaverse,,,auto_matched
GTCUSDT,GTC,gitcoin,,,auto_matched
HANAUSDT,HANA,hana,,,auto_matched
HBARUSDT,HBAR,hedera-hashgraph,,,auto_matched
HEDLUSDT,HEDL,haedal,,,auto_matched
HEMIUSDT,HEMI,hemi,,,auto_matched
HFTUSDT,HFT,hashflow,,,auto_matched
HIGHUSDT,HIGH,high,,,auto_matched
HIPPOUSDT,HIPPO,hippo-token,,,auto_matched
HMSTRUSDT,HMSTR,hamster-kombat,,,auto_matched
HOMEUSDT,HOME,home,,,auto_matched
HOOKUSDT,HOOK,hooked-protocol,,,auto_matched
HOTUSDT,HOT,holo,,,auto_matched
HUSDT,H,h,,,auto_matched
ICPUSDT,ICP,internet-computer,,,auto_matched
ICXUSDT,ICX,icon,,,auto_matched
IDUSDT,ID,everid,,,auto_matched
ILVUSDT,ILV,illuvium,,,auto_matched
IMXUSDT,IMX,immutable-x,,,auto_matched
INITUSDT,INIT,init,,,auto_matched
INJUSDT,INJ,injective-protocol,,,auto_matched
IOSTUSDT,IOST,iostoken,,,auto_matched
IOTAUSDT,IOTA,iota,,,auto_matched
IOTXUSDT,IOTX,iotex,,,auto_matched
IRYSUSDT,IRYS,irys,,,auto_matched
JASMYUSDT,JASMY,jasmycoin,,,auto_matched
JOEUSDT,JOE,joe,,,auto_matched
JTOUSDT,JTO,jito-governance-token,,,auto_matched
JUPUSDT,JUP,jupiter-exchange-solana,,,auto_matched
JUSTUSDT,JUST,just,,,auto_matched
KAIAUSDT,KAIA,kaia,,,auto_matched
KAITOUSDT,KAITO,kaito,,,auto_matched
KASUSDT,KAS,kaspa,,,auto_matched
KAVAUSDT,KAVA,kava,,,auto_matched
KGENUSDT,KGEN,kgen,,,auto_matched
KITEUSDT,KITE,kite,,,auto_matched
KNCUSDT,KNC,kyber-network-crystal,,,auto_matched
KSMUSDT,KSM,kusama,,,auto_matched
LABUSDT,LAB,lab,,,auto_matched
LDOUSDT,LDO,lido-dao,,,auto_matched
LINEAUSDT,LINEA,linea,,,auto_matched
LINKUSDT,LINK,chainlink,,,auto_matched
LPTUSDT,LPT,livepeer,,,auto_matched
LQTYUSDT,LQTY,liquity,,,auto_matched
LRCUSDT,LRC,loopring,,,auto_matched
LSKUSDT,LSK,lisk,,,auto_matched
LTCUSDT,LTC,litecoin,,,auto_matched
LUMIAUSDT,LUMIA,lumia,,,auto_matched
LUNA2USDT,LUNA2,terra-luna-2,,,auto_matched
LYNUSDT,LYN,lyn,,,auto_matched
MAGICUSDT,MAGIC,magic,,,auto_matched
MANAUSDT,MANA,decentraland,,,auto_matched
MANTAUSDT,MANTA,manta-network,,,auto_matched
MASKUSDT,MASK,mask-network,,,auto_matched
MAVIAUSDT,MAVIA,heroes-of-mavia,,,auto_matched
MAVUSDT,MAV,maverick-protocol,,,auto_matched
MBOXUSDT,MBOX,mobox,,,auto_matched
MEMEUSDT,MEME,memecoin,,,auto_matched
METISUSDT,METIS,metis-token,,,auto_matched
MEWUSDT,MEW,cat-in-a-dogs-world,,,auto_matched
MINAUSDT,MINA,mina-protocol,,,auto_matched
MITOUSDT,MITO,mito,,,auto_matched
MLNUSDT,MLN,melon,,,auto_matched
MOCAUSDT,MOCA,mocaverse,,,auto_matched
MORPHOUSDT,MORPHO,morpho,,,auto_matched
MTLUSDT,MTL,metal,,,auto_matched
MUBARAKUSDT,MUBARAK,mubarak,,,auto_matched
NAORISUSDT,NAORIS,naoris,,,auto_matched
NEARUSDT,NEAR,near,,,auto_matched
NEIROUSDT,NEIRO,neiro,,,auto_matched
NEOUSDT,NEO,neo,,,auto_matched
NEWTUSDT,NEWT,newt,,,auto_matched
NKNUSDT,NKN,nkn,,,auto_matched
NMRUSDT,NMR,numeraire,,,auto_matched
NOTUSDT,NOT,notcoin,,,auto_matched
NPXSUSDT,NPXS,pundi-x,,,auto_matched
NTRNUSDT,NTRN,neutron-3,,,auto_matched
OGNUSDT,OGN,origin-protocol,,,auto_matched
OMUSDT,OM,omni-network,,,auto_matched
ONDOUSDT,ONDO,ondo-finance,,,auto_matched
ONEUSDT,ONE,harmony,,,auto_matched
ONGUSDT,ONG,ong,,,auto_matched
ONTUSDT,ONT,ontology,,,auto_matched
ONUSDT,ON,on,,,auto_matched
OPUSDT,OP,optimism,,,auto_matched
ORCAUSDT,ORCA,orca,,,auto_matched
ORDIUSDT,ORDI,ordinals,,,auto_matched
OXTUSDT,OXT,orchid-protocol,,,auto_matched
PAXGUSDT,PAXG,pax-gold,,,auto_matched
PENDLEUSDT,PENDLE,pendle,,,auto_matched
PEOPLEUSDT,PEOPLE,constitutiondao,,,auto_matched
PHBUSDT,PHB,phoenix-global,,,auto_matched
PIEVERSEUSDT,PIEVERSE,pieverse,,,auto_matched
PIPPINUSDT,PIPPIN,pippin,,,auto_matched
PIXELUSDT,PIXEL,pixels,,,auto_matched
PLUMEUSDT,PLUME,plume,,,auto_matched
PNUTUSDT,PNUT,peanut-the-squirrel,,,auto_matched
POLUSDT,POL,polygon-ecosystem-token,,,auto_matched
POLYXUSDT,POLYX,polymesh,,,auto_matched
POPCATUSDT,POPCAT,popcat,,,auto_matched
POWRUSDT,POWR,power-ledger,,,auto_matched
PUFERUSDT,PUFER,puffer-finance,,,auto_matched
PUMPBTCUSDT,PUMPBTC,pumpbtc,,,auto_matched
PUMPUSDT,PUMP,pump,,,auto_matched
PYTHUSDT,PYTH,pyth-network,,,auto_matched
QNTUSDT,QNT,quant-network,,,auto_matched
QTUMUSDT,QTUM,qtum,,,auto_matched
QUSDT,Q,q,,,auto_matched
RAREUSDT,RARE,superrare,,,auto_matched
RAYSOLUSDT,RAYSOL,raydium,,,auto_matched
RDNTUSDT,RDNT,radiant-capital,,,auto_matched
RECALLUSDT,RECALL,recall,,,auto_matched
RENDERUSDT,RENDER,render-token,,,auto_matched
RESOLVUSDT,RESOLV,resolv,,,auto_matched
RIFUSDT,RIF,rif-token,,,auto_matched
RIVERUSDT,RIVER,river,,,auto_matched
RLCUSDT,RLC,iexec-rlc,,,auto_matched
RONINUSDT,RONIN,ronin,,,auto_matched
ROSEUSDT,ROSE,oasis-network,,,auto_matched
RPLUSDT,RPL,rocket-pool,,,auto_matched
RSRUSDT,RSR,reserve-rights-token,,,auto_matched
RUNEUSDT,RUNE,thorchain,,,auto_matched
RVNUSDT,RVN,ravencoin,,,auto_matched
SAFEUSDT,SAFE,safe,,,auto_matched
SAGAUSDT,SAGA,saga-2,,,auto_matched
SANDUSDT,SAND,the-sandbox,,,auto_matched
SANTOSUSDT,SANTOS,santos-fc-fan-token,,,auto_matched
SCRTUSDT,SCRT,secret,,,auto_matched
SEIUSDT,SEI,sei-network,,,auto_matched
SENTINELUSDT,SENTINEL,sentinel,,,auto_matched
SFPUSDT,SFP,safepal,,,auto_matched
SHELLUSDT,SHELL,shell,,,auto_matched
SIRENUSDT,SIREN,siren,,,auto_matched
SKLUSDT,SKL,skale,,,auto_matched
SKYAIUSDT,SKYAI,skyai,,,auto_matched
SKYUSDT,SKY,sky,,,auto_matched
SNXUSDT,SNX,havven,,,auto_matched
SOLUSDT,SOL,solana,,,auto_matched
SOLVUSDT,SOLV,solv-protocol,,,auto_matched
SPELLUSDT,SPELL,spell-token,,,auto_matched
SPXUSDT,SPX,spx6900,,,auto_matched
SQDUSDT,SQD,sqd,,,auto_matched
SSVUSDT,SSV,ssv-network,,,auto_matched
STBLUSDT,STBL,stbl,,,auto_matched
STEEMUSDT,STEEM,steem,,,auto_matched
STGUSDT,STG,stargate-finance,,,auto_matched
STORJUSDT,STORJ,storj,,,auto_matched
STRKUSDT,STRK,starknet,,,auto_matched
STXUSDT,STX,blockstack,,,auto_matched
SUIUSDT,SUI,sui,,,auto_matched
SUPERUSDT,SUPER,superfarm,,,auto_matched
SUSHIUSDT,SUSHI,sushi,,,auto_matched
SWARMSUSDT,SWARMS,swarms,,,auto_matched
SYNUSDT,SYN,synapse-2,,,auto_matched
SYRUPUSDT,SYRUP,syrup,,,auto_matched
SYSUSDT,SYS,syscoin,,,auto_matched
TACUSDT,TAC,tac,,,auto_matched
TAIKOUSDT,TAIKO,taiko,,,auto_matched
TANSSIUSDT,TANSSI,tanssi,,,auto_matched
TAOUSDT,TAO,bittensor,,,auto_matched
THETAUSDT,THETA,theta-token,,,auto_matched
THEUSDT,THE,thena,,,auto_matched
TIAUSDT,TIA,celestia,,,auto_matched
TLMUSDT,TLM,alien-worlds,,,auto_matched
TNSRUSDT,TNSR,tensor,,,auto_matched
TONUSDT,TON,the-open-network,,,auto_matched
TOSHIUSDT,TOSHI,toshi,,,auto_matched
TOWNSUSDT,TOWNS,towns,,,auto_matched
TRADOORUSDT,TRADOOR,tradoor,,,auto_matched
TRBUSDT,TRB,tellor,,,auto_matched
TRUMPUSDT,TRUMP,maga,,,auto_matched
TRUTHUSDT,TRUTH,truth,,,auto_matched
TRUUSDT,TRU,truebit-protocol,,,auto_matched
TRXUSDT,TRX,tron,,,auto_matched
TURBOUSDT,TURBO,turbo,,,auto_matched
TUSDT,T,threshold-network-token,,,auto_matched
TWTUSDT,TWT,trust-wallet-token,,,auto_matched
UMAUSDT,UMA,uma,,,auto_matched
UNIUSDT,UNI,uniswap,,,auto_matched
USDCUSDT,USDC,usd-coin,,,auto_matched
USTCUSDT,USTC,terrausd,,,auto_matched
VANAUSDT,VANA,vana,,,auto_matched
VANRYUSDT,VANRY,vanar-chain,,,auto_matched
VELODROMEUSDT,VELODROME,velodrome-finance,,,auto_matched
VELVETUSDT,VELVET,velvet,,,auto_matched
VETUSDT,VET,vechain,,,auto_matched
VINEUSDT,VINE,vine,,,auto_matched
VIRTUALUSDT,VIRTUAL,virtual-protocol,,,auto_matched
WAXPUSDT,WAXP,wax,,,auto_matched
WETUSDT,WET,wet,,,auto_matched
WIFUSDT,WIF,dogwifcoin,,,auto_matched
WLDUSDT,WLD,worldcoin-wld,,,auto_matched
WOOUSDT,WOO,woo-network,,,auto_matched
WUSDT,W,victorious,,,auto_matched
XAIUSDT,XAI,xai-blockchain,,,auto_matched
XLMUSDT,XLM,stellar,,,auto_matched
XMRUSDT,XMR,monero,,,auto_matched
XRPUSDT,XRP,ripple,,,auto_matched
XTZUSDT,XTZ,tezos,,,auto_matched
XVGUSDT,XVG,verge,,,auto_matched
XVSUSDT,XVS,venus,,,auto_matched
YALAUSDT,YALA,yala,,,auto_matched
YFIUSDT,YFI,yearn-finance,,,auto_matched
YGGUSDT,YGG,yield-guild-games,,,auto_matched
ZECUSDT,ZEC,zcash,,,auto_matched
ZENUSDT,ZEN,zencash,,,auto_matched
ZEREBROUSDT,ZEREBRO,zerebro,,,auto_matched
ZETAUSDT,ZETA,zetachain,,,auto_matched
ZILUSDT,ZIL,zilliqa,,,auto_matched
ZKUSDT,ZK,zksync,,,auto_matched
ZORAUSDT,ZORA,zora,,,auto_matched
ZROUSDT,ZRO,layerzero,,,auto_matched
ZRXUSDT,ZRX,0x,,,auto_matched
